Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2019,9,99,1,244318.04999999772,8915271.17999959
2019,9,99,2,254561.40999999695,11756646.069999231
2019,10,0,0,13801.809999999998,75101.55000000003
2019,10,0,1,237580377.32021892,651249462.8992393
2019,10,0,2,248909828.16026035,610538005.6692932
2019,10,20,0,0.0,47.25
2019,10,20,1,83499024.0799973,253558511.64997253
2019,10,20,2,138208393.53009576,410706508.0496494
2019,10,30,1,118374395.34003507,364775502.9698964
2019,10,30,2,197099378.89013597,618209803.9692855
2019,10,40,1,177379540.01010135,533755426.5696651
2019,10,40,2,250140090.05020925,705836716.6389647
2019,10,50,1,240041262.9701935,824433653.2486248
2019,10,50,2,306593550.77023983,941514001.2779346
2019,10,60,0,263.03,751.52
2019,10,60,1,250855019.70023692,1152822108.3874123
2019,10,60,2,304552483.15029883,1076928088.2872195
2019,10,70,1,209037989.49025515,1047428010.4970671
2019,10,70,2,266728667.38043153,1064532664.5364958
2019,10,80,0,3421.7300000000005,13828.630000000001
2019,10,80,1,138059854.4700424,793488570.4886092
2019,10,80,2,253281446.4002829,1246987671.9965055
2019,10,99,0,2186.25,9417943.780000001
2019,10,99,1,313146.16999999783,2723527.220000072
2019,10,99,2,317218.8399999969,2295610.1400000765
2019,11,0,0,805.16,2880.4299999999994
2019,11,0,1,215186008.6701362,594272280.459759
2019,11,0,2,225758545.3301837,551020834.9696481
2019,11,20,1,75988231.41997369,230423297.41003504
2019,11,20,2,125561091.46005958,372938910.2198304
2019,11,30,1,108526473.520012,333450917.43996495
2019,11,30,2,180073993.1001074,563106144.3095287
2019,11,40,1,163529703.46005985,489920192.8397772
2019,11,40,2,227086529.56014633,640074055.7993463
2019,11,50,1,221388224.09013838,761258901.5390176
2019,11,50,2,278904724.0202401,857498836.7184623
2019,11,60,1,232739250.74015224,1087179868.547946
2019,11,60,2,283258504.7402773,1001333612.5077292
2019,11,70,1,197257725.72016478,981556320.3876969
2019,11,70,2,250735509.67029366,992426617.1672763
2019,11,80,0,357.43,1330.83
2019,11,80,1,130709261.53002355,739558153.2190226
2019,11,80,2,241777139.5801934,1163441407.167407
2019,11,99,0,30393.8,173451353.43
2019,11,99,1,321226.0799999977,14695048.90999915
2019,11,99,2,291058.75999999687,12871091.069998788
2019,12,0,0,0.0,1384.08
2019,12,0,1,217668581.730045,584555921.8198607
2019,12,0,2,228348047.3400764,546959962.8098803
2019,12,20,1,80961291.69997285,232839201.5801224
2019,12,20,2,129926750.18998681,368081267.3601418
2019,12,30,1,116334154.10998072,337101760.0500995
2019,12,30,2,183522742.20000923,547369985.1698816
2019,12,40,1,176348856.85999802,496973565.8899794
2019,12,40,2,236239838.95006987,627819677.6997949
2019,12,50,1,239188534.33005852,766072845.5297126
2019,12,50,2,290719565.01014465,839197353.9395591
2019,12,60,1,235294390.91005757,1223895024.9386423
2019,12,60,2,275804619.2401298,941695483.1090399
2019,12,70,1,190049396.0400003,939699469.3490214
2019,12,70,2,232752795.94008204,922404679.7888654
2019,12,80,1,127357862.17996913,720190759.1596591
2019,12,80,2,230963336.00004095,1124316234.1986327
2019,12,99,0,1030.11,244613290.31000006
2019,12,99,1,305228.83999999915,11769899.390000049
2019,12,99,2,317147.54999999714,7875103.610000043
2020,1,0,0,7.5,433.34000000000003
2020,1,0,1,216875124.44995382,608619250.9592279
2020,1,0,2,223664437.41995195,565402954.1792713
2020,1,20,1,77243965.44000037,249553220.92987838
2020,1,20,2,126022369.69002192,398511118.4494201
2020,1,30,1,108321093.48001432,357171282.54969054
2020,1,30,2,177932913.12998223,595373223.8691118
2020,1,40,1,154877695.64997065,515828085.1893966
2020,1,40,2,211776177.05998757,663716846.7588738
2020,1,50,1,208435255.84995952,804032975.0982139
2020,1,50,2,258639749.83997437,892725998.6878026
2020,1,60,0,0.0,3850.0
2020,1,60,1,229402497.6099462,1431877886.0664234
2020,1,60,2,272916182.439961,1051148637.9068904
2020,1,70,1,200524171.20987236,1068140123.467887
2020,1,70,2,249190337.39983603,1063377776.0877136
2020,1,80,1,130132182.76997778,791795578.4489262
2020,1,80,2,237069488.26984885,1235204587.7869987
2020,1,99,0,11900.64,852617615.0200018
2020,1,99,1,289935.3000000017,58559432.539999984
2020,1,99,2,336192.5200000017,69304266.32999994
2020,2,0,0,49.59,132.91
2020,2,0,1,215291523.24990126,572652231.4494491
2020,2,0,2,226705417.24989873,547213254.1993749
2020,2,20,1,78714412.34000249,236679398.34991685
2020,2,20,2,129414277.96003333,380759724.35949373
2020,2,30,1,110779670.62002303,340450468.339767
2020,2,30,2,180405819.68997505,564501054.4792151
2020,2,40,1,163057155.8299719,491375117.29951507
2020,2,40,2,227285837.6399488,643551678.219016
2020,2,50,1,222551136.8299243,762790652.488686
2020,2,50,2,280427102.49992937,859971444.2382725
2020,2,60,1,232025268.95991987,1077663377.9377568
2020,2,60,2,279396259.2799237,977705567.5276153
2020,2,70,1,196890251.46987623,973702791.0786633
2020,2,70,2,247404260.19983184,976063288.9883682
2020,2,80,0,401.85999999999996,1445.31
2020,2,80,1,124777385.66999322,725473575.3093851
2020,2,80,2,224070973.32986522,1124259483.628331
2020,2,99,0,5485.16,5786653.640000001
2020,2,99,1,271587.7900000016,2198298.1700000647
2020,2,99,2,323816.9600000004,1887467.1300000781
2020,3,0,0,9.0,19.08
2020,3,0,1,152502725.36997154,443662094.40963876
