SOI_ANN,SOI_MOI,BEN_SEX_COD,AGE_BEN_SNDS,BEN_RES_REG,RAC,FLT_PAI_MNT,FLT_REM_MNT
2019.0,1.0,2.0,50.0,52.0,12952094.690000411,40936337.0999997,27984242.40999781
2019.0,1.0,2.0,50.0,53.0,11030398.200000241,36513820.50999886,25483422.309998073
2019.0,1.0,2.0,50.0,75.0,23262423.9899981,76197893.34000853,52935469.34999514
2019.0,1.0,2.0,50.0,76.0,24298538.519998293,83718216.57001263,59419678.04999473
2019.0,1.0,2.0,50.0,84.0,32633190.31999732,97759143.95001715,65125953.629995145
2019.0,1.0,2.0,50.0,93.0,25706481.949998308,90691250.89001597,64984768.93999567
2019.0,1.0,2.0,60.0,5.0,7531471.770000068,34409648.32000137,26878176.54999976
2019.0,1.0,2.0,60.0,11.0,49449194.56999312,157092944.5900188,107643750.02000943
2019.0,1.0,2.0,60.0,24.0,10586171.53000025,38827191.4500004,28241019.919997066
2019.0,1.0,2.0,60.0,27.0,11473012.520000394,42307446.29000046,30834433.76999663
2019.0,1.0,2.0,60.0,28.0,12811958.220000578,49486625.50000143,36674667.27999665
2019.0,1.0,2.0,60.0,32.0,22941053.369997695,95103972.60001457,72162919.22999747
2019.0,1.0,2.0,60.0,44.0,26195111.27999774,90125172.73001406,63930061.44999616
2019.0,1.0,2.0,60.0,52.0,14056685.850000387,48295604.91000066,34238919.05999692
2019.0,1.0,2.0,60.0,53.0,12316831.270000251,45702873.80000116,33386042.52999716
2019.0,1.0,2.0,60.0,75.0,26528228.029997315,97328072.54002075,70799844.50999613
2019.0,1.0,2.0,60.0,76.0,25624246.619998015,100735937.93002552,75111691.30999747
2019.0,1.0,2.0,60.0,84.0,32342974.74999702,110996427.8600228,78653453.11000027
2019.0,1.0,2.0,60.0,93.0,26457553.119997833,103762109.3700251,77304556.24999861
2019.0,1.0,2.0,70.0,5.0,5056590.420000019,29762452.630001504,24705862.209999967
2019.0,1.0,2.0,70.0,11.0,40144976.199992575,140624428.75003833,100479452.55000423
2019.0,1.0,2.0,70.0,24.0,8951959.840000426,36342517.27000061,27390557.429997128
2019.0,1.0,2.0,70.0,27.0,9815293.510000452,40442477.910001315,30627184.399996202
2019.0,1.0,2.0,70.0,28.0,10671702.850000659,45090902.840001695,34419199.98999697
2019.0,1.0,2.0,70.0,32.0,18220395.500000007,83338535.46001014,65118139.95999524
2019.0,1.0,2.0,70.0,44.0,21164359.6299995,79251311.07001132,58086951.43999607
2019.0,1.0,2.0,70.0,52.0,11921077.51000058,45366690.72000186,33445613.20999651
2019.0,1.0,2.0,70.0,53.0,10759187.090000575,45230733.08000217,34471545.98999639
2019.0,1.0,2.0,70.0,75.0,23371453.729998197,95506989.75002299,72135536.01999374
2019.0,1.0,2.0,70.0,76.0,23179407.44999892,103202482.66002475,80023075.20999828
2019.0,1.0,2.0,70.0,84.0,28516475.18999744,110163694.9800267,81647219.78999898
2019.0,1.0,2.0,70.0,93.0,25753000.4399975,114751571.36003576,88998570.92000243
2019.0,1.0,2.0,80.0,5.0,4510160.519999938,34474263.53000243,29964103.010000676
2019.0,1.0,2.0,80.0,11.0,34006144.75999644,155765366.93003267,121759222.17001659
2019.0,1.0,2.0,80.0,24.0,8164089.720000233,39011607.06000072,30847517.339997154
2019.0,1.0,2.0,80.0,27.0,9468151.170000264,45245349.84000262,35777198.669997394
2019.0,1.0,2.0,80.0,28.0,10344588.050000485,51154359.24000217,40809771.18999748
2019.0,1.0,2.0,80.0,32.0,18415712.110000324,96572380.75001448,78156668.63999856
2019.0,1.0,2.0,80.0,44.0,24131248.17999979,94517441.82001346,70386193.63999654
2019.0,1.0,2.0,80.0,52.0,11383327.070000388,50672215.89000277,39288888.81999652
2019.0,1.0,2.0,80.0,53.0,10921925.21000033,58065076.95000226,47143151.73999642
2019.0,1.0,2.0,80.0,75.0,23200468.41999892,121704399.1100293,98503930.69000754
2019.0,1.0,2.0,80.0,76.0,24204961.889998797,140977793.21003324,116772831.3200118
2019.0,1.0,2.0,80.0,84.0,26012700.869998194,124926287.52002633,98913586.65000653
2019.0,1.0,2.0,80.0,93.0,26359171.88999862,160286819.04003042,133927647.15001546
2019.0,1.0,2.0,99.0,5.0,139.51999999999998,1229.9200000000003,1090.4
2019.0,1.0,2.0,99.0,11.0,8381.019999999999,705555.45,697174.4299999999
2019.0,1.0,2.0,99.0,24.0,5667.519999999996,522276.77,516609.25
2019.0,1.0,2.0,99.0,27.0,4239.070000000002,119928.34999999996,115689.28000000003
2019.0,1.0,2.0,99.0,28.0,3193.5900000000006,298331.56,295137.97
2019.0,1.0,2.0,99.0,32.0,5004.610000000001,4773706.529999999,4768701.919999999
2019.0,1.0,2.0,99.0,44.0,6148.4,3277144.98,3270996.5799999996
2019.0,1.0,2.0,99.0,52.0,2774.3600000000006,354603.45,351829.09
2019.0,1.0,2.0,99.0,53.0,1006.4099999999999,349855.94,348849.53
2019.0,1.0,2.0,99.0,75.0,44394.35000000006,2805135.4299999997,2760741.079999999
2019.0,1.0,2.0,99.0,76.0,130332.61000000003,2893853.030000009,2763520.419999998
2019.0,1.0,2.0,99.0,84.0,16527.739999999965,2078791.8399999999,2062264.1
2019.0,1.0,2.0,99.0,93.0,109237.37000000023,2696384.3300000057,2587146.959999999
2019.0,1.0,9.0,0.0,76.0,7.5,118.03,110.53
2019.0,1.0,9.0,30.0,76.0,66.69,180.23,113.54
2019.0,1.0,9.0,30.0,93.0,0.0,23.0,23.0
2019.0,2.0,0.0,80.0,11.0,183.48000000000002,478.37,294.89
2019.0,2.0,0.0,80.0,44.0,183.48000000000002,478.37,294.89
2019.0,2.0,0.0,80.0,75.0,208.18,956.74,748.56
2019.0,2.0,0.0,80.0,84.0,366.96000000000004,956.74,589.78
2019.0,2.0,0.0,99.0,44.0,158.78000000000003,453.67,294.89
2019.0,2.0,1.0,0.0,5.0,6690617.810000036,21444559.079999387,14753941.270000158
2019.0,2.0,1.0,0.0,11.0,42458038.359993644,117731639.02001964,75273600.65999302
2019.0,2.0,1.0,0.0,24.0,6555736.540000056,17886118.01999741,11330381.479999568
2019.0,2.0,1.0,0.0,27.0,7293678.650000216,19063751.779997278,11770073.12999944
2019.0,2.0,1.0,0.0,28.0,8761317.260000302,27336906.949997727,18575589.689999245
2019.0,2.0,1.0,0.0,32.0,18910833.989999972,50973753.8400009,32062919.849997833
2019.0,2.0,1.0,0.0,44.0,18010407.390000086,46450965.52000035,28440558.129998215
2019.0,2.0,1.0,0.0,52.0,10506715.850000503,27501623.9399983,16994908.089999188
2019.0,2.0,1.0,0.0,53.0,8261905.510000144,22773366.099998094,14511460.589999365
2019.0,2.0,1.0,0.0,75.0,16036949.40000076,42323958.51999974,26287009.119997878
2019.0,2.0,1.0,0.0,76.0,18077617.7300007,54545728.71000145,36468110.979996555
2019.0,2.0,1.0,0.0,84.0,25212080.61999802,68360417.72000243,43148337.09999504
2019.0,2.0,1.0,0.0,93.0,16658859.21000068,49197130.179999985,32538270.969998386
2019.0,2.0,1.0,20.0,5.0,1743123.3599999838,6385443.069999884,4642319.710000031
2019.0,2.0,1.0,20.0,11.0,17167476.720000133,44985466.850000225,27817990.12999722
2019.0,2.0,1.0,20.0,24.0,2244592.8299999894,6851905.519999371,4607312.6900000395
2019.0,2.0,1.0,20.0,27.0,2587232.6499999696,7867468.139999384,5280235.489999983
2019.0,2.0,1.0,20.0,28.0,2782159.9099999615,9025615.629999226,6243455.719999953
2019.0,2.0,1.0,20.0,32.0,5920280.740000001,19059173.599997994,13138892.859999202
