,annee,mois,region,SIN_N/N-1
304,2021,5,Régions et Départements d'outre-mer,0.4091914610682359
305,2021,6,Régions et Départements d'outre-mer,0.1330457198711783
306,2021,7,Régions et Départements d'outre-mer,-0.0528407699825425
307,2021,8,Régions et Départements d'outre-mer,-0.020038583756719075
308,2021,9,Régions et Départements d'outre-mer,-0.0032903593548770926
309,2021,10,Régions et Départements d'outre-mer,0.011349538944256832
310,2021,11,Régions et Départements d'outre-mer,-0.013240967222884259
311,2021,12,Régions et Départements d'outre-mer,0.004598441731349379
312,2022,1,Auvergne-Rhône-Alpes,-0.010056617301368531
313,2022,2,Auvergne-Rhône-Alpes,0.001310231683868679
314,2022,3,Auvergne-Rhône-Alpes,0.024580152652180054
315,2022,4,Auvergne-Rhône-Alpes,0.005076458854553545
316,2022,5,Auvergne-Rhône-Alpes,0.09584445635451155
317,2022,6,Auvergne-Rhône-Alpes,-0.05368188789972694
318,2022,7,Auvergne-Rhône-Alpes,-0.034188204097342356
319,2022,8,Auvergne-Rhône-Alpes,0.06222537939193784
320,2022,9,Auvergne-Rhône-Alpes,0.034823947322669246
321,2022,10,Auvergne-Rhône-Alpes,0.012019688484517177
322,2022,11,Auvergne-Rhône-Alpes,0.046474245168458994
323,2022,12,Auvergne-Rhône-Alpes,0.025570154960173674
324,2022,1,Bourgogne-Franche-Comté,0.023905109547062153
325,2022,2,Bourgogne-Franche-Comté,0.00801817516727188
326,2022,3,Bourgogne-Franche-Comté,0.033560672717817486
327,2022,4,Bourgogne-Franche-Comté,-0.007482918509222447
328,2022,5,Bourgogne-Franche-Comté,0.08409352607580933
329,2022,6,Bourgogne-Franche-Comté,-0.04537273727815605
330,2022,7,Bourgogne-Franche-Comté,-0.022086519444712183
331,2022,8,Bourgogne-Franche-Comté,0.04535964993819408
332,2022,9,Bourgogne-Franche-Comté,0.03579587461317568
333,2022,10,Bourgogne-Franche-Comté,0.019918597125053283
334,2022,11,Bourgogne-Franche-Comté,0.047277118326993994
335,2022,12,Bourgogne-Franche-Comté,0.022513298773267465
336,2022,1,Bretagne,0.011072935570898057
337,2022,2,Bretagne,-0.009868651316404908
338,2022,3,Bretagne,0.06502404751597068
339,2022,4,Bretagne,-0.03752245319574232
340,2022,5,Bretagne,0.11076802993967338
341,2022,6,Bretagne,-0.042949433653277636
342,2022,7,Bretagne,-0.018206594325079095
343,2022,8,Bretagne,0.04695333807837376
344,2022,9,Bretagne,0.0506348134024559
345,2022,10,Bretagne,0.020798166158969567
346,2022,11,Bretagne,0.043946791814978736
347,2022,12,Bretagne,0.021628655967073307
348,2022,1,Centre-Val-de-Loire,0.011939026964781663
349,2022,2,Centre-Val-de-Loire,-0.008392766285495679
350,2022,3,Centre-Val-de-Loire,0.06522747667516682
351,2022,4,Centre-Val-de-Loire,-0.021502202826067185
352,2022,5,Centre-Val-de-Loire,0.1423451722245337
353,2022,6,Centre-Val-de-Loire,-0.03438872017184691
354,2022,7,Centre-Val-de-Loire,-0.007901852242844232
355,2022,8,Centre-Val-de-Loire,0.05327856075598714
356,2022,9,Centre-Val-de-Loire,0.03891706428196451
357,2022,10,Centre-Val-de-Loire,0.021579970554717054
358,2022,11,Centre-Val-de-Loire,0.06225099918860555
359,2022,12,Centre-Val-de-Loire,0.02950762349542324
360,2022,1,Grand Est,0.07013873870972986
361,2022,2,Grand Est,-0.01790819723146353
362,2022,3,Grand Est,0.0738806264289622
363,2022,4,Grand Est,-0.010276238533243331
364,2022,5,Grand Est,0.11349498003311242
365,2022,6,Grand Est,-0.02513380459500636
366,2022,7,Grand Est,-0.006801479567625002
367,2022,8,Grand Est,0.06675783133969526
368,2022,9,Grand Est,0.053229362072357844
369,2022,10,Grand Est,0.04014637835030532
370,2022,11,Grand Est,0.059286114949497426
371,2022,12,Grand Est,0.03356561312763606
372,2022,1,Hauts-de-France,0.028178185948356083
373,2022,2,Hauts-de-France,-0.023451220034501064
374,2022,3,Hauts-de-France,0.07733478698208063
375,2022,4,Hauts-de-France,-0.01993911387482772
376,2022,5,Hauts-de-France,0.11638014946938635
377,2022,6,Hauts-de-France,-0.026859446656832153
378,2022,7,Hauts-de-France,-0.0060418267811055415
379,2022,8,Hauts-de-France,0.054373804335789755
380,2022,9,Hauts-de-France,0.04489714433895897
381,2022,10,Hauts-de-France,0.02118685449450708
382,2022,11,Hauts-de-France,0.05056320259918978
383,2022,12,Hauts-de-France,0.024950489287441924
384,2022,1,Ile-de-France,0.016139886959972705
385,2022,2,Ile-de-France,0.0553647575226528
386,2022,3,Ile-de-France,0.015016309303117259
387,2022,4,Ile-de-France,0.015698883799659002
388,2022,5,Ile-de-France,0.06810886245891656
389,2022,6,Ile-de-France,-0.03467081318380549
390,2022,7,Ile-de-France,-0.018534593356436035
391,2022,8,Ile-de-France,0.06945423791750516
392,2022,9,Ile-de-France,0.05693081242172271
393,2022,10,Ile-de-France,-0.002064378991268434
394,2022,11,Ile-de-France,0.043988236506318446
395,2022,12,Ile-de-France,0.007853529063376996
396,2022,1,Normandie,0.006902468893644542
397,2022,2,Normandie,-0.013195998404007092
398,2022,3,Normandie,0.07303955704226173
399,2022,4,Normandie,-0.023964803189850836
400,2022,5,Normandie,0.12215626641629895
401,2022,6,Normandie,-0.028915878419438656
402,2022,7,Normandie,-0.020262890091326646
403,2022,8,Normandie,0.06538817598013535
404,2022,9,Normandie,0.045638890956101186
405,2022,10,Normandie,0.024116408469334827
406,2022,11,Normandie,0.049436296555248394
407,2022,12,Normandie,0.01909409352581659
408,2022,1,Nouvelle-Aquitaine,0.019404803913685376
409,2022,2,Nouvelle-Aquitaine,0.004672407115650756
410,2022,3,Nouvelle-Aquitaine,0.031237416313193878
411,2022,4,Nouvelle-Aquitaine,-0.012434172769578256
412,2022,5,Nouvelle-Aquitaine,0.08557333863431871
413,2022,6,Nouvelle-Aquitaine,-0.03832839046676717
414,2022,7,Nouvelle-Aquitaine,-0.028727495303000228
415,2022,8,Nouvelle-Aquitaine,0.05551691559966376
416,2022,9,Nouvelle-Aquitaine,0.03530085564550767
417,2022,10,Nouvelle-Aquitaine,0.02724453483276168
418,2022,11,Nouvelle-Aquitaine,0.04479074935815297
419,2022,12,Nouvelle-Aquitaine,0.024919783861552247
420,2022,1,Occitanie,0.01736390500041418
421,2022,2,Occitanie,0.03686055295237245
422,2022,3,Occitanie,0.004352942828384387
423,2022,4,Occitanie,0.005380329725476196
424,2022,5,Occitanie,0.050814059646215215
425,2022,6,Occitanie,-0.03663835925755854
426,2022,7,Occitanie,-0.016179158357960688
427,2022,8,Occitanie,0.05560915550509948
428,2022,9,Occitanie,0.035972547389845344
429,2022,10,Occitanie,0.02759963528603926
430,2022,11,Occitanie,0.05612654338467293
431,2022,12,Occitanie,0.018508334634613544
432,2022,1,Pays de la Loire,0.007817336972113065
433,2022,2,Pays de la Loire,-0.03294865714681494
434,2022,3,Pays de la Loire,0.058739226137481504
435,2022,4,Pays de la Loire,-0.050428951104695696
436,2022,5,Pays de la Loire,0.10998308278740798
437,2022,6,Pays de la Loire,-0.04091331250499752
438,2022,7,Pays de la Loire,-0.026163491034542963
439,2022,8,Pays de la Loire,0.05775873094391226
440,2022,9,Pays de la Loire,0.03963349931288995
441,2022,10,Pays de la Loire,0.024550848361569733
442,2022,11,Pays de la Loire,0.06528370799169325
443,2022,12,Pays de la Loire,0.037198514867312404
444,2022,1,Provence-Alpes-Côte d'Azur et Corse,0.048546740613633066
445,2022,2,Provence-Alpes-Côte d'Azur et Corse,0.006627434926774978
446,2022,3,Provence-Alpes-Côte d'Azur et Corse,0.05070981140652164
447,2022,4,Provence-Alpes-Côte d'Azur et Corse,-0.024945456829495782
448,2022,5,Provence-Alpes-Côte d'Azur et Corse,0.09226183999537496
449,2022,6,Provence-Alpes-Côte d'Azur et Corse,-0.027761417756254625
450,2022,7,Provence-Alpes-Côte d'Azur et Corse,-0.02599806474533428
451,2022,8,Provence-Alpes-Côte d'Azur et Corse,0.057453564803708224
452,2022,9,Provence-Alpes-Côte d'Azur et Corse,0.04795739772310714
453,2022,10,Provence-Alpes-Côte d'Azur et Corse,0.02603138079288536
454,2022,11,Provence-Alpes-Côte d'Azur et Corse,0.04338876534583069
455,2022,12,Provence-Alpes-Côte d'Azur et Corse,0.01337934068113067
456,2022,1,Régions et Départements d'outre-mer,0.03509650908515005
457,2022,2,Régions et Départements d'outre-mer,-0.015365406836601259
458,2022,3,Régions et Départements d'outre-mer,-0.003520637917198477
459,2022,4,Régions et Départements d'outre-mer,-0.02142164338289687
460,2022,5,Régions et Départements d'outre-mer,0.054430150886312756
461,2022,6,Régions et Départements d'outre-mer,-0.015195188513491775
462,2022,7,Régions et Départements d'outre-mer,0.014954054263484062
463,2022,8,Régions et Départements d'outre-mer,0.03333235695633774
464,2022,9,Régions et Départements d'outre-mer,0.05858951535616175
465,2022,10,Régions et Départements d'outre-mer,0.04239185941452961
466,2022,11,Régions et Départements d'outre-mer,0.0777741123798199
467,2022,12,Régions et Départements d'outre-mer,0.026919159251516334
468,2023,1,Auvergne-Rhône-Alpes,0.1333304999812801
469,2023,2,Auvergne-Rhône-Alpes,0.05840042651707278
470,2023,3,Auvergne-Rhône-Alpes,0.04510042987479457
471,2023,4,Auvergne-Rhône-Alpes,0.024331730938772056
472,2023,5,Auvergne-Rhône-Alpes,0.00029029606550357023
473,2023,6,Auvergne-Rhône-Alpes,0.08909580952615337
474,2023,7,Auvergne-Rhône-Alpes,0.06650935452628448
475,2023,8,Auvergne-Rhône-Alpes,0.06257146939468461
476,2023,9,Auvergne-Rhône-Alpes,0.020475753958514087
477,2023,10,Auvergne-Rhône-Alpes,0.08275269653188544
478,2023,11,Auvergne-Rhône-Alpes,0.06780365227533292
479,2023,12,Auvergne-Rhône-Alpes,0.040745701025883374
480,2023,1,Bourgogne-Franche-Comté,0.1032802934162369
481,2023,2,Bourgogne-Franche-Comté,0.07098782136417325
482,2023,3,Bourgogne-Franche-Comté,0.04206907700751006
483,2023,4,Bourgogne-Franche-Comté,0.020727425786218223
484,2023,5,Bourgogne-Franche-Comté,-0.000530050778968949
485,2023,6,Bourgogne-Franche-Comté,0.08497287407729681
486,2023,7,Bourgogne-Franche-Comté,0.06054300251155831
487,2023,8,Bourgogne-Franche-Comté,0.05910008810931333
488,2023,9,Bourgogne-Franche-Comté,0.020926184072294962
489,2023,10,Bourgogne-Franche-Comté,0.08158944801878731
490,2023,11,Bourgogne-Franche-Comté,0.07803494265642263
491,2023,12,Bourgogne-Franche-Comté,0.05183717769544738
492,2023,1,Bretagne,0.09486312178093126
493,2023,2,Bretagne,0.07997498023834404
494,2023,3,Bretagne,0.05077172702231625
495,2023,4,Bretagne,0.016689230227286966
496,2023,5,Bretagne,-0.012377675399421695
497,2023,6,Bretagne,0.08292115622131768
498,2023,7,Bretagne,0.0699378572393281
499,2023,8,Bretagne,0.07170711136320373
500,2023,9,Bretagne,0.022211788343546424
501,2023,10,Bretagne,0.08007412111267587
502,2023,11,Bretagne,0.062117406015288035
503,2023,12,Bretagne,0.05642009849122376
504,2023,1,Centre-Val-de-Loire,0.11263135028270477
